id_siswa,nama,nrp,id_mapel,score
38,Jeffrey Durham,00200000000001,1,6.0
38,Jeffrey Durham,00200000000001,2,6.0
38,Jeffrey Durham,00200000000001,3,2.0
38,Jeffrey Durham,00200000000001,4,5.0
38,Jeffrey Durham,00200000000001,5,5.0
38,Jeffrey Durham,00200000000001,6,6.0
38,Jeffrey Durham,00200000000001,7,5.0
39,Jacob Allen,00200000000002,1,3.0
39,Jacob Allen,00200000000002,2,3.0
39,Jacob Allen,00200000000002,3,3.0
39,Jacob Allen,00200000000002,4,6.0
39,Jacob Allen,00200000000002,5,10.0
39,Jacob Allen,00200000000002,6,6.0
39,Jacob Allen,00200000000002,7,3.0
40,Jason Lin,00200000000003,1,5.0
40,Jason Lin,00200000000003,2,2.0
40,Jason Lin,00200000000003,3,1.0
40,Jason Lin,00200000000003,4,4.0
40,Jason Lin,00200000000003,5,6.0
40,Jason Lin,00200000000003,6,2.0
40,Jason Lin,00200000000003,7,6.0
41,Steven Erickson,00200000000004,1,9.0
41,Steven Erickson,00200000000004,2,7.0
41,Steven Erickson,00200000000004,3,3.0
41,Steven Erickson,00200000000004,4,7.0
41,Steven Erickson,00200000000004,5,4.0
41,Steven Erickson,00200000000004,6,6.0
41,Steven Erickson,00200000000004,7,6.0
42,Danny Martinez,00200000000005,1,5.0
42,Danny Martinez,00200000000005,2,9.0
42,Danny Martinez,00200000000005,3,2.0
42,Danny Martinez,00200000000005,4,8.0
42,Danny Martinez,00200000000005,5,8.0
42,Danny Martinez,00200000000005,6,5.0
42,Danny Martinez,00200000000005,7,3.0
43,Kaitlin Richardson,00200000000006,1,4.0
43,Kaitlin Richardson,00200000000006,2,4.0
43,Kaitlin Richardson,00200000000006,3,2.0
43,Kaitlin Richardson,00200000000006,4,3.0
43,Kaitlin Richardson,00200000000006,5,2.0
43,Kaitlin Richardson,00200000000006,6,4.0
43,Kaitlin Richardson,00200000000006,7,7.0
44,Sydney Coleman,00200000000007,1,1.0
44,Sydney Coleman,00200000000007,2,5.0
44,Sydney Coleman,00200000000007,3,7.0
44,Sydney Coleman,00200000000007,4,6.0
44,Sydney Coleman,00200000000007,5,5.0
44,Sydney Coleman,00200000000007,6,4.0
44,Sydney Coleman,00200000000007,7,5.0
45,Danielle Hubbard,00200000000008,1,8.0
45,Danielle Hubbard,00200000000008,2,2.0
45,Danielle Hubbard,00200000000008,3,6.0
45,Danielle Hubbard,00200000000008,4,8.0
45,Danielle Hubbard,00200000000008,5,7.0
45,Danielle Hubbard,00200000000008,6,6.0
45,Danielle Hubbard,00200000000008,7,9.0
46,Jose Shaw,00200000000009,1,6.0
46,Jose Shaw,00200000000009,2,5.0
46,Jose Shaw,00200000000009,3,6.0
46,Jose Shaw,00200000000009,4,4.0
46,Jose Shaw,00200000000009,5,3.0
46,Jose Shaw,00200000000009,6,7.0
46,Jose Shaw,00200000000009,7,7.0
